Dates,Months,Description,Amount,Balance
01/22,01, Quickpay With Zelle Payment To 8312959358 Jpm202538579,-400.0,3937.88
01/22,01, Card Purchase With Pin  01/21 Safeway Store2607 Santa Cruz CA Card,-9.96,3927.92
01/22,01, Recurring Card Purchase 01/20 Leetcode.Com Httpsleetcode CA Card 8744,-35.0,3892.92
01/24,01, Card Purchase01/22 USA*Snack Soda Vending Santa Cruz CA Card,-1.0,3891.92
01/25,01, Card Purchase01/24 Ucsc Dining Services #2 Santa Cruz CA Card,-6.25,3885.67
01/25,01, Card Purchase01/24 Ucsc Dining Services #2 Santa Cruz CA Card,-4.95,3880.72
01/28,01, Card Purchase With Pin  01/25 Safeway Store2607 Santa Cruz CA Card,-10.21,3870.51
01/28,01, Card Purchase With Pin  01/26 Ucsc Bay Tree Bkstore Santa Cruz CA Card,-1.74,3868.77
01/28,01, Quickpay With Zelle Payment To 8312959358 Jpm203798366,-730.0,3138.77
01/28,01, Card Purchase01/28 Coinmach Northern Calif Union City CA Card,-2.75,3136.02
01/28,01, Card Purchase01/28 Coinmach Northern Calif Union City CA Card,-2.75,3133.27
01/28,01, Card Purchase01/28 Coinmach Northern Calif Union City CA Card,-2.5,3130.77
01/28,01, Card Purchase01/28 Coinmach Northern Calif Union City CA Card,-2.5,3128.27
02/04,02, Card Purchase02/02 Comcast Californ Cs 1 800-266-2278 CA Card,-57.03,3071.24
02/05,02, Card Purchase02/04 USA*Snack Soda Vending Santa Cruz CA Card,-1.0,3070.24
02/05,02, Card Purchase02/04 USA*Snack Soda Vending Santa Cruz CA Card,-1.0,3069.24
02/11,02, Card Purchase With Pin  02/10 Safeway Store,-14.85,3054.39
02/13,02, Card Purchase02/12 USA*Snack Soda Vending Santa Cruz CA Card,-1.0,3053.39
02/15,02, Quickpay With Zelle Payment To Harshil.Jain-Ves.Ac.IN Jpm208437777,-12.0,3041.39
02/15,02, Quickpay With Zelle Payment To Harshil.Jain-Ves.Ac.IN Jpm208438683,-0.59,3040.8
02/20,02, Card Purchase02/20 USA*Snack Soda Vending Santa Cruz CA Card,-1.0,3039.8
02/21,02, Card Purchase02/20 USA*Snack Soda Vending Santa Cruz CA Card,-1.0,3038.8
02/22,02, Recurring Card Purchase 02/20 Leetcode.Com Httpsleetcode CA Card 8744,-35.0,3003.8
02/25,02, Card Purchase With Pin  02/22 Safeway Store2607 Santa Cruz CA Card,-13.47,2990.33
02/25,02, Card Purchase With Pin  02/23 Ucsc Bay Tree Bkstore Santa Cruz CA Card,-1.74,2988.59
02/27,02, Card Purchase02/26 Ucsc Dining Services #2 Santa Cruz CA Card,-3.95,2984.64
03/01,03, Card Purchase With Pin  02/28 Safeway Store2607 Santa Cruz CA Card,-28.67,2955.97
03/04,03, Card Purchase03/02 Coinmach Northern Calif Union City CA Card,-2.75,2953.22
03/04,03, Card Purchase03/02 Coinmach Northern Calif Union City CA Card,-2.75,2950.47
03/04,03, Card Purchase03/02 Coinmach Northern Calif Union City CA Card,-2.5,2947.97
03/04,03, Card Purchase03/02 Coinmach Northern Calif Union City CA Card,-2.5,2945.47
03/04,03, Card Purchase03/02 Caltrain Mobile 866-255-0250 OR Card 8744,-10.5,2934.97
03/04,03, Card Purchase03/03 Greyhound Lines Cnp 214-849-8966 TX Card,-25.5,2909.47
03/06,03, Card Purchase03/04 Delta Air00672568009 Bellevue WA Card,-144.6,2764.87
03/06,03, Card Purchase03/05 USA*Snack Soda Vending Santa Cruz CA Card,-1.0,2763.87
03/06,03, Card Purchase03/05 USA*Snack Soda Vending Santa Cruz CA Card,-1.0,2762.87
03/07,03, Card Purchase03/07 Comcast Californ Cs 1 800-266-2278 CA Card,-76.85,2686.02
03/08,03, Quickpay With Zelle Payment To 8312959358 Jpm213811461,-730.0,1956.02
03/11,03, Card Purchase W/Cash03/08 Safeway Store,-36.46,1919.56
03/11,03, Card Purchase03/09 Wish.Com 800-266-0172 CA Card 8744,-9.9,1909.66
03/11,03, Card Purchase With Pin  03/09 Ross Stores #187 Capitola CA Card 8744,-30.63,1879.03
03/11,03, Card Purchase03/09 Starbucks Store 09412 Capitola CA Card 8744,-4.25,1874.78
03/12,03, Card Purchase03/11 USA*Snack Soda Vending Santa Cruz CA Card,-1.0,1873.78
03/13,03, ATM Check Deposit03/13 2111 Mission St Santa Cruz CA Card 8744,2099.31,3973.09
03/13,03, Card Purchase With Pin  03/12 Safeway Store,-19.99,3953.1
04/12,04, Card Purchase04/11 Ucsc Dining Services #2 Santa Cruz CA Card,-3.15,4368.57
04/15,04, Card Purchase04/13 Marini's At The Beach Santa Cruz CA Card,-5.75,4362.82
04/15,04, Card Purchase04/13 Boardwalk Kiosk Santa Cruz CA Card 8744,-20.0,4342.82
04/15,04, Card Purchase04/14 Dipper Diner Santa Cruz CA Card 8744,-7.25,4335.57
04/15,04, Card Purchase04/14 Uber*Trip 800-592-8996 CA Card 8744,-7.42,4328.15
04/15,04, Quickpay With Zelle Payment To Samvid Ucsc Jpm223512052,-500.0,3828.15
04/16,04, Card Purchase04/15 Uber*Trip 800-592-8996 CA Card 8744,-8.78,3819.37
04/16,04, Card Purchase04/16 Uber*Trip 800-592-8996 CA Card 8744,-4.44,3814.93
04/16,04, Quickpay With Zelle Payment To Samvid Ucsc Jpm223780505,-2000.0,1814.93
04/17,04, Card Purchase With Pin  04/16 Safeway Store2607 Santa Cruz CA Card,-27.29,1787.64
04/22,04, Card Purchase04/19 USA*Snack Soda Vending Santa Cruz CA Card,-1.0,1786.64
04/22,04, Card Purchase With Pin  04/20 Safeway Store,-13.45,1773.19
04/22,04, Card Purchase With Pin  04/20 Safeway Store,-7.62,1765.57
04/22,04, Card Purchase04/21 Www.Cheapoair.Com Cheapoair.Com NY Card,-562.3,1203.27
04/22,04, Card Purchase04/21 Megabus.Com Paramus NJ Card 8744,-18.49,1184.78
04/22,04, Card Purchase04/21 Megabus.Com Paramus NJ Card 8744,-33.49,1151.29
04/22,04, Card Purchase04/22 Coinmach Northern Calif Union City CA Card,-2.75,1148.54
04/22,04, Card Purchase04/22 Coinmach Northern Calif Union City CA Card,-2.75,1145.79
04/22,04, Card Purchase04/22 Coinmach Northern Calif Union City CA Card,-2.5,1143.29
04/22,04, Card Purchase04/22 Coinmach Northern Calif Union City CA Card,-2.5,1140.79
04/22,04, 04/22 Online Transfer To Sav ...5912 Transaction#: 8156682966,-300.0,840.79
04/24,04, Card Purchase With Pin  04/23 Safeway Store,-29.83,810.96
04/25,04, Card Purchase04/22 Air France  05773179517 New York NY Card,-568.77,242.19
04/25,04, Card Purchase04/24 Student Health Cnter #1 Santa Cruz CA Card,-5.0,237.19
04/29,04, Card Purchase W/Cash04/28 Safeway Store,-58.23,178.96
04/29,04, Card Purchase W/Cash04/28 Safeway Store,-63.28,115.68
04/30,04, Card Purchase04/28 Starbucks Store 53811 Santa Cruz CA Card,-7.2,108.48
04/30,04, Card Purchase04/29 Ucsc Dining Services #2 Santa Cruz CA Card,-8.7,99.78
05/01,05, Online Transfer From Sav ...5912 Transaction#: 8187887203,200.0,299.78
05/01,05, Card Purchase04/30 Collagecom 402-935-7733 CA Card 8744,-7.99,291.79
05/02,05, ATM Check Deposit05/02 2111 Mission St Santa Cruz CA Card 8744,2099.31,2391.1
05/02,05, Card Purchase With Pin  05/01 Safeway Store,-11.0,2380.1
05/02,05, Quickpay With Zelle Payment To Nancy 8191599633,-35.0,2345.1
05/02,05, Quickpay With Zelle Payment To Meera Seattle Jpm228282143,-35.0,2310.1
05/03,05, Quickpay With Zelle Payment To Saloni Ucsc USA Jpm228528542,-730.0,1580.1
05/03,05, Card Purchase With Pin  05/03 Santa Cruz Metro Trm Santa Cruz CA Card,-7.0,1573.1
05/06,05, Card Purchase05/03 Metro Mart Santa Cruz CA Card 8744,-6.19,1566.91
05/06,05, Card Purchase05/03 Metro Mart Santa Cruz CA Card 8744,-1.25,1565.66
05/06,05, Card Purchase05/04 Badmaash - Downtown LA Los Angeles CA,-66.8,1498.86
05/06,05, Card Purchase With Pin  05/04 The Museum of Contempo Los Angeles CA,-16.0,1482.86
05/06,05, Card Purchase05/06 Uber*Trip 800-592-8996 CA Card 8744,-14.95,1467.91
05/07,05, Card Purchase05/06 Uber*Trip 800-592-8996 CA Card 8744,-13.45,1454.46
05/07,05, Card Purchase05/07 Uber*Trip 800-592-8996 CA Card 8744,-9.28,1445.18
05/07,05, Card Purchase With Pin  05/07 Shell Service Statio Kettleman Cit CA Card,-3.26,1441.92
05/08,05, Card Purchase05/07 Uber*Trip 800-592-8996 CA Card 8744,-7.57,1434.35
05/08,05, Card Purchase05/08 Uber*Trip 800-592-8996 CA Card 8744,-19.94,1414.41
05/08,05, Card Purchase05/08 Uber*Trip 800-592-8996 CA Card 8744,-7.97,1406.44
05/09,05, Quickpay With Zelle Payment To Samvid Ucsc Jpm230242959,-500.0,906.44
05/13,05, Card Purchase05/10 Iveta Gourmet Santa Cruz CA Card 8744,-2.6,903.84
05/13,05, Card Purchase05/11 Comcast Californ Cs 1 800-266-2278 CA Card,-72.03,831.81
05/13,05, Card Purchase With Pin  05/13 Safeway Store2607 Santa Cruz CA Card,-26.36,805.45
03/14,03, Card Purchase03/13 Ucsc Dining Services #2 Santa Cruz CA Card,-3.15,3949.95
03/18,03, Card Purchase With Pin  03/15 Safeway Store2607 Santa Cruz CA Card,-18.97,3930.98
03/19,03, Card Purchase03/18 Ucsc Dining Services #2 Santa Cruz CA Card,-3.75,3927.23
03/19,03, Card Purchase03/18 Ucsc Dining Services #2 Santa Cruz CA Card,-5.0,3922.23
03/20,03, ATM Withdrawal03/19 2111 Mission St Santa Cruz CA Card 8744,-60.0,3862.23
03/21,03, Recurring Card Purchase 03/20 Leetcode.Com Httpsleetcode CA Card 8744,-35.0,3827.23
03/25,03, Card Purchase W/Cash03/24 Safeway Store2607 Santa Cruz CA,-56.82,3770.41
03/25,03, Card Purchase With Pin  03/25 Ucsc Bay Tree Bkstore Santa Cruz CA Card,-1.74,3768.67
03/27,03, Card Purchase03/27 Coinmach Northern Calif Union City CA Card,-2.75,3765.92
03/27,03, Card Purchase03/27 Coinmach Northern Calif Union City CA Card,-2.75,3763.17
03/27,03, Card Purchase03/27 Coinmach Northern Calif Union City CA Card,-2.5,3760.67
03/27,03, Card Purchase03/27 Coinmach Northern Calif Union City CA Card,-2.5,3758.17
03/28,03, Card Purchase03/27 Santa Cruz Metro Trm Santa Cruz CA Card,-7.0,3751.17
03/28,03, Card Purchase03/27 Ubr* Pending.Uber.Com 800-592-8996 CA,-7.37,3743.8
03/28,03, Card Purchase03/27 Daawat Grill And Bar Seattle WA Card 8744,-17.32,3726.48
03/29,03, Card Purchase03/28 Groupon Inc Groupon.Com IL Card 8744,-17.0,3709.48
03/29,03, Card Purchase03/29 Uber*Trip 800-592-8996 CA Card 8744,-5.04,3704.44
03/29,03, Card Purchase03/29 Uber*Trip 800-592-8996 CA Card 8744,-4.59,3699.85
04/01,04, Card Purchase03/30 Uber*Trip 800-592-8996 CA Card 8744,-3.79,3696.06
04/01,04, Card Purchase03/29 Sq *Sugar Bakery & Cafe Seattle WA Card,-15.75,3680.31
04/01,04, Card Purchase03/30 Cafe Turko Seattle WA Card 8744,-21.0,3659.31
04/01,04, Card Purchase03/30 Chick-Fil-A #03422 Puyallup WA Card 8744,-11.2,3648.11
04/01,04, Card Purchase03/31 Uber*Trip 800-592-8996 CA Card 8744,-5.94,3642.17
04/01,04, Card Purchase03/31 Uber*Trip 800-592-8996 CA Card 8744,-5.41,3636.76
04/01,04, Card Purchase03/31 Wsferries-Colman Dock Seattle WA Card 8744,-17.0,3619.76
04/01,04, Card Purchase04/01 Ubr* Pending.Uber.Com 800-592-8996 CA,-11.18,3608.58
04/02,04, Card Purchase04/01 Ubr* Pending.Uber.Com 800-592-8996 CA,-5.0,3603.58
04/02,04, Card Purchase04/01 Sea Greedy Cow Burger Seattle WA Card 8744,-10.43,3593.15
04/02,04, Card Purchase04/02 Uber*Trip 800-592-8996 CA Card 8744,-8.27,3584.88
04/02,04, Card Purchase04/02 Uber*Trip 800-592-8996 CA Card 8744,-9.53,3575.35
04/03,04," Quickpay With Zelle Payment From Srinivasan, Lakshminarasimhan",3.0,3578.35
04/03,04, Quickpay With Zelle Payment From Shresta Seetharam Wfct062Fc7J8,3.0,3581.35
04/03,04, Quickpay With Zelle Payment From Jayanth Induri 8097649378,3.0,3584.35
04/04,04," Quickpay With Zelle Payment From Sinha, Aditi Bacc1B5728A7",3.0,3587.35
04/04,04, Card Purchase04/04 Comcast Californ Cs 1 800-266-2278 CA Card,-72.03,3515.32
04/08,04, ATM Check Deposit04/05 2111 Mission St Santa Cruz CA Card 8744,2099.31,5614.63
04/08,04, ATM Check Deposit04/07 2111 Mission St Santa Cruz CA Card 8744,2099.31,7713.94
04/08,04," Quickpay With Zelle Payment From Jhaveri, Samvid Bac541Eb8509",2500.0,10213.94
04/08,04, Quickpay With Zelle Payment From Samvid Niravbhai Jhaveri 8108237966,500.0,10713.94
04/08,04, Card Purchase04/05 Surf City Grill Santa Cruz CA Card 8744,-6.22,10707.72
04/08,04, Card Purchase04/05 Cruzin Crepes Santa Cruz CA Card 8744,-7.0,10700.72
04/08,04, Card Purchase With Pin  04/05 Safeway Store,-29.84,10670.88
04/08,04, Card Purchase04/06 Sprintax.Com 6052752 Httpswww.Spri IL Card,-29.95,10640.93
04/08,04, Quickpay With Zelle Payment To Saloni Ucsc USA Jpm221629321,-730.0,9910.93
04/08,04, Recurring Card Purchase 04/06 Leetcode.Com Httpsleetcode CA Card 8744,-142.91,9768.02
04/09,04, Card Purchase04/08 Student Health Cnter #1 Santa Cruz CA Card,-5.0,9763.02
04/09,04, Card Purchase With Pin  04/09 Usps PO 05695402 850 F Santa Cruz CA,-0.84,9762.18
04/10,04, Non-Chase ATM Withdraw  04/09 1501 Mission Street Santa Cruz CA Card,-22.25,9739.93
04/10,04, Card Purchase With Pin  04/10 Safeway Store,-26.06,9713.87
04/10,04, Uc Santa CruzUcscepay1707801,-5339.65,4374.22
04/10,04, Non-Chase ATM Fee-With,-2.5,4371.72
03/14,03, Card Purchase03/13 Ucsc Dining Services #2 Santa Cruz CA Card,-3.15,3949.95
03/18,03, Card Purchase With Pin  03/15 Safeway Store2607 Santa Cruz CA Card,-18.97,3930.98
03/19,03, Card Purchase03/18 Ucsc Dining Services #2 Santa Cruz CA Card,-3.75,3927.23
03/19,03, Card Purchase03/18 Ucsc Dining Services #2 Santa Cruz CA Card,-5.0,3922.23
03/20,03, ATM Withdrawal03/19 2111 Mission St Santa Cruz CA Card 8744,-60.0,3862.23
03/21,03, Recurring Card Purchase 03/20 Leetcode.Com Httpsleetcode CA Card 8744,-35.0,3827.23
03/25,03, Card Purchase W/Cash03/24 Safeway Store2607 Santa Cruz CA,-56.82,3770.41
03/25,03, Card Purchase With Pin  03/25 Ucsc Bay Tree Bkstore Santa Cruz CA Card,-1.74,3768.67
03/27,03, Card Purchase03/27 Coinmach Northern Calif Union City CA Card,-2.75,3765.92
03/27,03, Card Purchase03/27 Coinmach Northern Calif Union City CA Card,-2.75,3763.17
03/27,03, Card Purchase03/27 Coinmach Northern Calif Union City CA Card,-2.5,3760.67
03/27,03, Card Purchase03/27 Coinmach Northern Calif Union City CA Card,-2.5,3758.17
03/28,03, Card Purchase03/27 Santa Cruz Metro Trm Santa Cruz CA Card,-7.0,3751.17
03/28,03, Card Purchase03/27 Ubr* Pending.Uber.Com 800-592-8996 CA,-7.37,3743.8
03/28,03, Card Purchase03/27 Daawat Grill And Bar Seattle WA Card 8744,-17.32,3726.48
03/29,03, Card Purchase03/28 Groupon Inc Groupon.Com IL Card 8744,-17.0,3709.48
03/29,03, Card Purchase03/29 Uber*Trip 800-592-8996 CA Card 8744,-5.04,3704.44
03/29,03, Card Purchase03/29 Uber*Trip 800-592-8996 CA Card 8744,-4.59,3699.85
04/01,04, Card Purchase03/30 Uber*Trip 800-592-8996 CA Card 8744,-3.79,3696.06
04/01,04, Card Purchase03/29 Sq *Sugar Bakery & Cafe Seattle WA Card,-15.75,3680.31
04/01,04, Card Purchase03/30 Cafe Turko Seattle WA Card 8744,-21.0,3659.31
04/01,04, Card Purchase03/30 Chick-Fil-A #03422 Puyallup WA Card 8744,-11.2,3648.11
04/01,04, Card Purchase03/31 Uber*Trip 800-592-8996 CA Card 8744,-5.94,3642.17
04/01,04, Card Purchase03/31 Uber*Trip 800-592-8996 CA Card 8744,-5.41,3636.76
04/01,04, Card Purchase03/31 Wsferries-Colman Dock Seattle WA Card 8744,-17.0,3619.76
04/01,04, Card Purchase04/01 Ubr* Pending.Uber.Com 800-592-8996 CA,-11.18,3608.58
04/02,04, Card Purchase04/01 Ubr* Pending.Uber.Com 800-592-8996 CA,-5.0,3603.58
04/02,04, Card Purchase04/01 Sea Greedy Cow Burger Seattle WA Card 8744,-10.43,3593.15
04/02,04, Card Purchase04/02 Uber*Trip 800-592-8996 CA Card 8744,-8.27,3584.88
04/02,04, Card Purchase04/02 Uber*Trip 800-592-8996 CA Card 8744,-9.53,3575.35
04/03,04," Quickpay With Zelle Payment From Srinivasan, Lakshminarasimhan",3.0,3578.35
04/03,04, Quickpay With Zelle Payment From Shresta Seetharam Wfct062Fc7J8,3.0,3581.35
04/03,04, Quickpay With Zelle Payment From Jayanth Induri 8097649378,3.0,3584.35
04/04,04," Quickpay With Zelle Payment From Sinha, Aditi Bacc1B5728A7",3.0,3587.35
04/04,04, Card Purchase04/04 Comcast Californ Cs 1 800-266-2278 CA Card,-72.03,3515.32
04/08,04, ATM Check Deposit04/05 2111 Mission St Santa Cruz CA Card 8744,2099.31,5614.63
04/08,04, ATM Check Deposit04/07 2111 Mission St Santa Cruz CA Card 8744,2099.31,7713.94
04/08,04," Quickpay With Zelle Payment From Jhaveri, Samvid Bac541Eb8509",2500.0,10213.94
04/08,04, Quickpay With Zelle Payment From Samvid Niravbhai Jhaveri 8108237966,500.0,10713.94
04/08,04, Card Purchase04/05 Surf City Grill Santa Cruz CA Card 8744,-6.22,10707.72
04/08,04, Card Purchase04/05 Cruzin Crepes Santa Cruz CA Card 8744,-7.0,10700.72
04/08,04, Card Purchase With Pin  04/05 Safeway Store,-29.84,10670.88
04/08,04, Card Purchase04/06 Sprintax.Com 6052752 Httpswww.Spri IL Card,-29.95,10640.93
04/08,04, Quickpay With Zelle Payment To Saloni Ucsc USA Jpm221629321,-730.0,9910.93
04/08,04, Recurring Card Purchase 04/06 Leetcode.Com Httpsleetcode CA Card 8744,-142.91,9768.02
04/09,04, Card Purchase04/08 Student Health Cnter #1 Santa Cruz CA Card,-5.0,9763.02
04/09,04, Card Purchase With Pin  04/09 Usps PO 05695402 850 F Santa Cruz CA,-0.84,9762.18
04/10,04, Non-Chase ATM Withdraw  04/09 1501 Mission Street Santa Cruz CA Card,-22.25,9739.93
04/10,04, Card Purchase With Pin  04/10 Safeway Store,-26.06,9713.87
04/10,04, Uc Santa CruzUcscepay1707801,-5339.65,4374.22
